Datum,Zahl 1,Zahl 2,Zahl 3,Zahl 4,Zahl 5,Zahl 6,Zusatzzahl,Gesamt - Ausbezahlt,6er - Gewinner,6er - Betrag,6er - Ausbezahlt,5er ZZ - Gewinner,5er ZZ - Betrag,5er ZZ - Ausbezahlt,5er - Gewinner,5er - Betrag,5er - Ausbezahlt,4er ZZ - Gewinner,4er ZZ - Betrag,4er ZZ - Ausbezahlt,4er - Gewinner,4er - Betrag,4er - Ausbezahlt,3er ZZ - Gewinner,3er ZZ - Betrag,3er ZZ - Ausbezahlt,3er - Gewinner,3er - Betrag,3er - Ausbezahlt,ZZ - Gewinner,ZZ - Betrag,ZZ - Ausbezahlt,6er - Pott Start,6er - Pott Bonus
2025-09-28,19,30,33,34,44,45,15,2080915.8,6JP,6028613.0,0.0,2,94911.4,189822.8,98,2126.8,208426.4,318,187.2,59529.6,6001,62.0,372062.0,8247,18.0,148446.0,98235,6.4,628704.0,315950,1.5,473925.0,4465365.8,1563247.2
2025-09-24,10,23,27,32,42,44,14,1551157.1,5JP,4465365.8,0.0,5,28547.8,142739.0,117,1339.6,156733.2,282,158.7,44753.4,4869,57.4,279480.6,6883,16.2,111504.6,77943,6.1,475452.3,226996,1.5,340494.0,3289865.0,1175500.8
2025-09-21,15,21,22,29,33,38,6,1162930.6,4JP,3289865.0,0.0,2,51814.3,103628.6,65,1750.5,113782.5,221,147.1,32509.1,3501,58.0,203058.0,4869,16.6,80825.4,57448,6.0,344688.0,189626,1.5,284439.0,2436452.4,853412.6
2025-09-19,1,4,11,13,38,41,32,1107236.6,3JP,2436452.4,0.0,1,194109.0,194109.0,56,1823.3,102104.8,154,189.4,29167.6,3051,59.7,182144.7,3665,19.8,72567.0,51225,6.0,307350.0,146529,1.5,219793.5,1670665.2,765787.2
2025-09-17,1,19,27,30,39,41,23,1010158.1,DJP,1670665.2,0.0,JP,101120.5,0.0,76,1460.9,111028.4,188,168.7,31715.6,3356,59.0,198004.0,4315,18.3,78964.5,54393,6.2,337236.6,168806,1.5,253209.0,837907.4,832757.8
2025-09-14,2,5,13,22,25,32,14,1103910.2,JP,837907.4,0.0,2,50872.9,101745.8,71,1573.5,111718.5,160,199.5,31920.0,3600,55.4,199440.0,4682,17.0,79594.0,58043,5.8,336649.4,161895,1.5,242842.5,,837907.4
2025-09-10,2,10,15,23,25,42,31,6297661.3,1,4678163.5,4678163.5,2,74778.6,149557.2,121,1357.1,164209.1,283,165.7,46893.1,5037,58.2,293153.4,6345,18.4,116748.0,82952,6.0,497712.0,234150,1.5,351225.0,3446514.5,1231649.0
2025-09-07,9,10,17,18,26,40,2,1183532.1,4JP,3446514.5,0.0,2,54146.0,108292.0,73,1628.8,118902.4,263,129.1,33953.3,3983,53.3,212293.9,5786,14.6,84475.6,63017,5.7,359196.9,177612,1.5,266418.0,2554697.8,891816.7
2025-09-05,10,14,18,22,23,26,32,1045202.8,3JP,2554697.8,0.0,3,32349.2,97047.6,70,1522.3,106561.0,179,170.0,30430.0,3431,55.4,190077.4,4250,17.9,76075.0,55137,5.9,325308.3,146469,1.5,219703.5,1755480.5,799217.3
2025-09-03,3,4,9,17,27,38,45,1140565.2,DJP,1755480.5,0.0,5,21098.1,105490.5,117,990.0,115830.0,217,152.5,33092.5,4811,42.9,206391.9,5370,15.4,82698.0,71882,4.9,352221.8,163227,1.5,244840.5,886735.0,868745.5
2025-08-31,3,4,18,21,32,40,23,1174409.9,JP,886735.0,0.0,3,35891.6,107674.8,80,1477.8,118224.0,162,208.5,33777.0,3699,57.0,210843.0,4867,17.3,84199.1,59467,6.0,356802.0,175260,1.5,262890.0,,886735.0
2025-08-27,10,28,29,32,33,34,42,12866318.9,1,9682498.7,9682498.7,3,98151.9,294455.7,191,1692.7,323305.7,468,197.3,92336.4,9645,59.8,576771.0,12711,18.1,230069.1,159613,6.1,973639.3,462162,1.5,693243.0,7257569.4,2424929.3
2025-08-24,5,10,17,25,40,42,37,1833616.0,7JP,7257569.4,0.0,4,42690.4,170761.6,150,1250.0,187500.0,309,173.3,53549.7,6123,54.6,334315.8,7215,18.5,133477.5,96756,5.9,570860.4,255434,1.5,383151.0,5851294.2,1406275.2
2025-08-22,1,6,10,14,16,25,27,1655936.7,6JP,5851294.2,0.0,3,49828.2,149484.6,131,1252.9,164129.9,342,137.1,46888.2,5850,50.1,293085.0,7523,15.5,116606.5,87175,5.7,496897.5,259230,1.5,388845.0,4620243.9,1231050.3
2025-08-20,2,28,33,34,35,36,6,1736692.8,5JP,4620243.9,0.0,2,77888.6,155777.2,91,1879.6,171043.6,220,222.1,48862.0,4986,61.2,305143.2,6537,18.6,121588.2,78176,6.6,515961.6,278878,1.5,418317.0,3337372.1,1282871.8
2025-08-17,4,16,17,18,21,44,39,1481556.4,4JP,3337372.1,0.0,2,68351.5,136703.0,70,2144.3,150101.0,258,166.2,42879.6,4622,57.9,267613.8,5926,18.0,106668.0,75362,6.0,452172.0,216946,1.5,325419.0,2211582.5,1125789.6
2025-08-13,4,10,16,19,27,41,40,1159214.8,3JP,2211582.5,0.0,2,54007.5,108015.0,93,1275.3,118602.9,191,177.4,33883.4,4218,50.2,211743.6,5038,16.8,84638.4,65636,5.5,360998.0,160889,1.5,241333.5,1322047.0,889535.5
2025-08-10,1,3,13,15,17,40,45,901373.4,DJP,1322047.0,0.0,3,27981.2,83943.6,64,1440.2,92172.8,142,185.4,26326.8,3146,52.3,164535.8,3937,16.7,65747.9,49175,5.7,280297.5,125566,1.5,188349.0,630745.7,691301.3
2025-08-08,15,21,23,28,32,43,39,825080.9,JP,630745.7,0.0,1,76590.5,76590.5,49,1716.3,84098.7,171,140.5,24025.5,2427,61.8,149988.6,3568,16.8,59942.4,40454,6.3,254860.2,117050,1.5,175575.0,,630745.7
2025-08-06,4,25,27,28,31,43,42,6405039.9,1,4720140.7,4720140.7,2,78054.6,156109.2,87,1970.2,171407.4,267,183.4,48967.8,4739,64.5,305665.5,6388,19.1,122010.8,81930,6.3,516159.0,243053,1.5,364579.5,3434534.8,1285605.9
2025-08-03,2,14,18,27,29,30,22,1643962.0,4JP,3434534.8,0.0,3,50103.5,150310.5,118,1398.7,165046.6,267,176.6,47152.2,5187,56.8,294621.6,7012,16.8,117801.6,82729,6.0,496374.0,248437,1.5,372655.5,2196683.0,1237851.8
2025-07-30,5,17,20,28,31,33,12,1188216.9,3JP,2196683.0,0.0,3,35781.1,107343.3,98,1202.7,117864.6,240,140.3,33672.0,3854,54.6,210428.4,5483,15.3,83889.9,61389,5.8,356056.2,185975,1.5,278962.5,1312677.1,884005.9
2025-07-27,8,16,17,34,35,43,19,927969.2,DJP,1312677.1,0.0,1,83400.6,83400.6,56,1635.3,91576.8,121,216.2,26160.2,2764,59.1,163352.4,3680,17.7,65136.0,44359,6.3,279461.7,145921,1.5,218881.5,625847.9,686829.2
2025-07-25,6,9,22,28,34,36,44,813460.7,JP,625847.9,0.0,1,75995.8,75995.8,50,1668.9,83445.0,130,183.3,23829.0,2710,54.9,148779.0,3163,18.8,59464.4,42850,5.9,252815.0,112755,1.5,169132.5,,625847.9
